BI 4356462 0.0010074776 -2.9967646011
NY 4343290 0.0010044314 -2.9980797018
NW 4215967 0.0009749867 -3.0110013308
QU 4169424 0.0009642231 -3.0158224683
OG 4163126 0.0009627666 -3.0164789755
SN 4157990 0.0009615789 -3.0170150931
MB 4121764 0.0009532012 -3.0208154105
VA 4111375 0.0009507987 -3.021911439
DF 4033878 0.0009328767 -3.0301757726
DD 4001275 0.0009253369 -3.033700133
MS 3922855 0.0009072014 -3.0422962739
GS 3920675 0.0009066973 -3.0425376871
AW 3918960 0.0009063007 -3.0427276989
NH 3915410 0.0009054797 -3.0431212865
PU 3858148 0.0008922373 -3.0495196494
HR 3843001 0.0008887344 -3.0512280338
SD 3842250 0.0008885607 -3.0513129137
TB 3815459 0.000882365 -3.0543517418
PT 3812475 0.0008816749 -3.0546915277
NM 3796928 0.0008780795 -3.0564661718
DC 3782481 0.0008747385 -3.0581217782
GU 3768430 0.000871489 -3.0597380803
TM 3759861 0.0008695074 -3.0607267425
MU 3755834 0.0008685761 -3.061192145
NU 3732602 0.0008632034 -3.0638868477
MM 3730508 0.0008627192 -3.0641305567
NL 3692985 0.0008540416 -3.0685209898
EU 3674130 0.0008496812 -3.0707440113
WN 3649615 0.0008440118 -3.0736514764
NB 3602692 0.0008331604 -3.0792713958
RP 3588188 0.0008298062 -3.0810233403
DM 3544905 0.0008197965 -3.0862939296
SR 3513808 0.000812605 -3.0901205044
UD 3499535 0.0008093042 -3.0918881897
UI 3481482 0.0008051293 -3.0941343792
RF 3436232 0.0007946648 -3.0998160511
OK 3397570 0.0007857238 -3.1047301193
YW 3379064 0.000781444 -3.1071021168
TF 3368452 0.0007789899 -3.1084681676
IP 3348621 0.0007744038 -3.1110325358
RW 3348005 0.0007742613 -3.1111124364
RB 3346212 0.0007738467 -3.1113450819
OH 3254659 0.0007526741 -3.1233930396
KS 3227333 0.0007463547 -3.1270547512
DP 3145043 0.0007273242 -3.1382719441
FU 3138900 0.0007259036 -3.1391210498
YC 3128053 0.0007233951 -3.1406244313
TP 3070427 0.0007100685 -3.1486997531
MT 3055946 0.0007067196 -3.1507528577
DL 3050945 0.0007055631 -3.1514641526
NK 3043200 0.000703772 -3.1525680343
CC 3026492 0.0006999081 -3.154958999
UB 2990868 0.0006916696 -3.1601012867
RH 2968706 0.0006865445 -3.1633313393
NP 2968126 0.0006864103 -3.1634161956
JU 2924815 0.0006763942 -3.1698001315
FL 2890839 0.0006685369 -3.1748746298
DN 2840522 0.0006569006 -3.1825003745
KA 2833038 0.0006551698 -3.1836461296
PH 2825344 0.0006533905 -3.1848271976
HU 2771830 0.0006410148 -3.1931319432
JO 2721345 0.0006293396 -3.2011149264
LF 2702522 0.0006249866 -3.204129294
YB 2696786 0.0006236601 -3.2050520469
RV 2692445 0.0006226562 -3.2057516901
OE 2616308 0.0006050487 -3.2182096607
IB 2598444 0.0006009175 -3.2211851699
IK 2585124 0.0005978371 -3.223417152
YP 2581863 0.0005970829 -3.2239653374
GL 2576787 0.0005959091 -3.2248200117
LP 2543957 0.0005883168 -3.2303887645
YM 2516273 0.0005819146 -3.2351407763
LB 2463693 0.0005697549 -3.2443119387
HS 2462026 0.0005693694 -3.2446059
DG 2442139 0.0005647703 -3.2481281499
GN 2426429 0.0005611372 -3.250930947
EK 2411639 0.0005577169 -3.2535862342
NR 2393580 0.0005535405 -3.2568505826
PS 2377036 0.0005497145 -3.2598627758
TD 2346516 0.0005426565 -3.2654750146
LC 2328063 0.000538389 -3.2689038058
SK 2321888 0.000536961 -3.2700572645
YF 2305244 0.0005331119 -3.2731816313
YH 2291273 0.000529881 -3.2758216937
VO 2253292 0.0005210974 -3.2830810604
AH 2225270 0.0005146171 -3.2885158206
DY 2218040 0.0005129451 -3.2899291568
LM 2216514 0.0005125922 -3.290228049
SY 2214270 0.0005120732 -3.2906679529
NV 2194534 0.000507509 -3.2945562175
YD 2122337 0.0004908127 -3.3090841905
FS 2047416 0.0004734865 -3.3246924357
SG 2043770 0.0004726433 -3.3254665125
YR 2021939 0.0004675946 -3.3301304851
YL 2013939 0.0004657446 -3.3318522184
WS 1988727 0.000459914 -3.3373233607
MY 1949129 0.0004507566 -3.3460579441
OY 1932892 0.0004470016 -3.3496909418
KN 1903836 0.0004402821 -3.3562690003
IZ 1865802 0.0004314863 -3.3650329788
XP 1840696 0.0004256803 -3.3709164582
LW 1836811 0.0004247818 -3.3718340582
TN 1782119 0.0004121337 -3.3849618298
KO 1758001 0.0004065562 -3.3908794115
AA 1721143 0.0003980324 -3.4000815747
JA 1712763 0.0003960944 -3.4022012538
ZE 1709871 0.0003954256 -3.4029351848
FC 1570791 0.0003632619 -3.4397801259
GW 1567991 0.0003626144 -3.4405549653
TG 1530045 0.000353839 -3.4511943256
XT 1509969 0.0003491962 -3.4569305034
FH 1507604 0.0003486493 -3.4576112522
LR 1505092 0.0003480683 -3.4583354905
JE 1487348 0.0003439649 -3.463485936
YN 1485655 0.0003435733 -3.4639805684
GG 1468286 0.0003395566 -3.4690878748
GF 1465290 0.0003388637 -3.4699749515
EQ 1461436 0.0003379724 -3.4711187257
HY 1446451 0.000334507 -3.4755948026
KT 1443985 0.0003339367 -3.4763358489
HC 1441057 0.0003332596 -3.4772173704
BS 1409672 0.0003260015 -3.4867804549
HW 1403223 0.0003245101 -3.4887718353
HN 1383958 0.0003200548 -3.494775628
CS 1381608 0.0003195114 -3.4955136962
HM 1353001 0.0003128957 -3.504600419
NJ 1342735 0.0003105216 -3.5079082267
HH 1329998 0.000307576 -3.5120475412
WT 1301293 0.0003009377 -3.5215234314
GC 1299541 0.0003005325 -3.5221085415
LH 1274048 0.000294637 -3.5307127456
EJ 1256993 0.0002906928 -3.5365656651
FM 1251312 0.000289379 -3.5385329284
DV 1238565 0.0002864312 -3.542979723
LV 1238287 0.0002863669 -3.5430772121
WR 1226755 0.0002837 -3.5471406948
GP 1215204 0.0002810287 -3.551249341
FP 1199845 0.0002774768 -3.5567733852
GB 1184377 0.0002738996 -3.5624085703
GM 1178511 0.0002725431 -3.5645648882
HL 1169468 0.0002704518 -3.567910188
LK 1164186 0.0002692302 -3.5698761617
CY 1145316 0.0002648664 -3.5769731968
MC 1101727 0.0002547859 -3.5938245416
YG 1049082 0.0002426112 -3.6150891004
XI 1024736 0.000236981 -3.6252865455
HB 1014004 0.0002344991 -3.6298588568
FW 1005903 0.0002326256 -3.633342419
GY 979804 0.00022659 -3.6447593181
HP 978649 0.0002263229 -3.6452715774
MW 937621 0.0002168347 -3.6638711965
PM 931225 0.0002153556 -3.6668439112
ZA 929119 0.0002148685 -3.6678271873
LG 926472 0.0002142564 -3.669066237
IW 922059 0.0002132358 -3.671139819
XA 904148 0.0002090937 -3.6796590108
FB 888155 0.0002053952 -3.6874097733
SV 882083 0.000203991 -3.6903890782
GD 879792 0.0002034611 -3.6915185265
IX 879360 0.0002033612 -3.6917318187
AJ 870262 0.0002012572 -3.696248509
KL 846309 0.0001957179 -3.7083695637
HF 834284 0.0001929369 -3.7145846137
HD 828755 0.0001916583 -3.7174723683
AE 815963 0.0001887 -3.7242280768
SQ 800346 0.0001850884 -3.7326207519
DJ 799366 0.0001848618 -3.7331528695
FY 789961 0.0001826868 -3.7382928789
AZ 768359 0.0001776911 -3.7503343486
LN 752316 0.000173981 -3.7594982272
AO 749566 0.000173345 -3.7610886557
FD 748027 0.0001729891 -3.7619812608
KW 719633 0.0001664227 -3.7787874625
MF 715087 0.0001653714 -3.7815396495
MH 710864 0.0001643948 -3.7841120031
SJ 704442 0.0001629096 -3.788053296
UF 701892 0.0001623199 -3.7896282335
TV 698150 0.0001614545 -3.7919497922
XC 697995 0.0001614187 -3.7920462085
YU 695512 0.0001608445 -3.793593893
BB 689158 0.000159375 -3.7975797205
WW 674610 0.0001560107 -3.8068457537
OJ 661082 0.0001528822 -3.81564319
AX 660826 0.000152823 -3.8158114212
MR 660619 0.0001527751 -3.8159474802
WL 657782 0.000152119 -3.8178165382
XE 653947 0.0001512321 -3.8203559885
KH 650095 0.0001503413 -3.8229216987
OX 650078 0.0001503374 -3.8229330516
UO 649906 0.0001502976 -3.8230479832
ZI 644035 0.0001489399 -3.8269890587
FG 637758 0.0001474882 -3.8312426069
IH 610683 0.0001412269 -3.8500826968
TK 610333 0.0001411459 -3.8503316712
II 607124 0.0001404038 -3.852621138
IU 576683 0.000133364 -3.8749613871
TJ 559473 0.000129384 -3.8881193929
MN 558397 0.0001291352 -3.8889554614
WY 553647 0.0001280367 -3.8926655957
KY 553296 0.0001279555 -3.8929410079
KF 537342 0.000124266 -3.9056477508
FN 534362 0.0001235768 -3.9080629495
UY 531960 0.0001230213 -3.9100195468
PW 530411 0.0001226631 -3.911285993
DK 525744 0.0001215838 -3.9151242158
RJ 518157 0.0001198293 -3.9214371589
UK 514873 0.0001190698 -3.9241984123
KR 507020 0.0001172537 -3.930873444
KU 506618 0.0001171607 -3.931217931
WM 505687 0.0001169454 -3.9320167449
KM 485617 0.000112304 -3.9496046589
MD 481126 0.0001112654 -3.9536397103
ML 478528 0.0001106646 -3.9559911637
EZ 465466 0.0001076439 -3.9680105759
KB 457860 0.0001058849 -3.9751658462
WC 448394 0.0001036958 -3.9842387498
WD 432646 0.0001000539 -3.9997658481
HG 429607 9.935113E-005 -4.0028271889
BT 428276 9.904332E-005 -4.0041748102
ZO 424016 9.805815E-005 -4.0085163046
KC 420017 9.713334E-005 -4.0126316775
PF 418168 9.670574E-005 -4.0145477475
YV 411487 9.516069E-005 -4.0215424176
PC 400308 9.257543E-005 -4.033504262
PY 396147 9.161315E-005 -4.0380421839
WB 394820 9.130627E-005 -4.0394993984
YK 391953 9.064325E-005 -4.0426645313
CP 382923 0.000088555 -4.0527870597
YJ 378679 8.75735E-005 -4.0576272927
KP 375653 8.68737E-005 -4.0611116812
PB 369336 8.541283E-005 -4.0684768883
CD 358435 8.289186E-005 -4.0814881152
JI 357577 8.269344E-005 -4.0825289413
UW 352732 0.000081573 -4.0884536719
UH 339341 7.847617E-005 -4.1052622007
WF 336213 7.775279E-005 -4.1092840183
YY 332973 7.70035E-005 -4.1134895346
WP 321746 7.440714E-005 -4.1283853882
BC 320380 7.409124E-005 -4.1302331368
AQ 315068 7.286278E-005 -4.1374942627
CB 298053 6.892789E-005 -4.1616050158
IQ 291635 6.744366E-005 -4.1710588697
CM 285942 6.612709E-005 -4.1796205885
MG 285133 0.00006594 -4.1808510572
DQ 283314 6.551934E-005 -4.183630486
BJ 282608 6.535607E-005 -4.1847140707
TZ 280007 6.475456E-005 -4.1887296433
KD 277982 6.428626E-005 -4.1918818396
PD 273162 6.317158E-005 -4.1994782607
FJ 269865 6.240912E-005 -4.2047519411
CF 267630 6.189225E-005 -4.2083637289
NZ 266461 6.162191E-005 -4.2102648446
CW 257253 5.949246E-005 -4.2255380727
FV 244685 0.000056586 -4.2472911583
VY 233082 5.390266E-005 -4.2683898026
FK 228905 5.293669E-005 -4.2762432175
OZ 228556 0.000052856 -4.2769058705
ZZ 221275 5.117217E-005 -4.290966166
IJ 219128 5.067565E-005 -4.295200672
LJ 218362 5.049851E-005 -4.2967214359
NQ 217422 5.028112E-005 -4.2985950571
UV 212051 0.000049039 -4.3094582174
XO 211173 0.000048836 -4.3112601817
PG 211133 4.882672E-005 -4.311342449
HK 210385 4.865374E-005 -4.31288377
KG 209266 0.000048395 -4.3151998648
VS 204093 4.719865E-005 -4.3260704231
HV 197539 0.000045683 -4.3402456689
BM 191807 4.435738E-005 -4.3530341137
HJ 189906 4.391776E-005 -4.3573598189
CN 188046 4.348761E-005 -4.3616344597
GV 186777 4.319414E-005 -4.3645751684
CG 181590 4.199459E-005 -4.3768066545
WU 180884 4.183133E-005 -4.3784983271
GJ 176947 4.092085E-005 -4.3880553538
XH 166599 3.852777E-005 -4.4142261274
GK 163830 3.788741E-005 -4.4215050823
TQ 159111 3.679609E-005 -4.4341983276
CQ 157546 3.643417E-005 -4.4384911196
RQ 156933 3.62924E-005 -4.4401843112
BH 154489 3.57272E-005 -4.4470010188
XS 154347 3.569437E-005 -4.4474002789
UZ 153736 3.555306E-005 -4.4491230142
WK 148964 3.444949E-005 -4.4628172031
XU 147533 3.411856E-005 -4.4670093068
UX 144814 3.348976E-005 -4.4750879648
BD 141752 3.278164E-005 -4.4843693233
BW 140189 3.242018E-005 -4.4891845782
WG 139890 0.000032351 -4.4901118876
MV 136314 0.000031524 -4.5013581301
MJ 134263 3.104973E-005 -4.507942172
PN 131645 3.044429E-005 -4.5164941498
XM 127492 2.948386E-005 -4.5304156597
OQ 122677 2.837034E-005 -4.5471354594
BV 120081 0.00002777 -4.5564242766
XW 119322 2.759447E-005 -4.5591779429
KK 118811 2.747629E-005 -4.5610419085
BP 115161 2.663219E-005 -4.5745931195
ZU 113538 2.625686E-005 -4.5807572115
RZ 113432 2.623234E-005 -4.5811629674
XF 113031 2.613961E-005 -4.5827008963
MK 111041 2.56794E-005 -4.5904151278
ZH 107639 2.489265E-005 -4.6039288672
BN 106125 2.454252E-005 -4.6100808464
ZY 105871 2.448378E-005 -4.6111215315
HQ 101241 0.000023413 -4.6305421929
WJ 99435 2.299539E-005 -4.6383592204
IY 98361 0.000022747 -4.6430756815
DZ 98038 2.267232E-005 -4.6445040374
VR 96416 2.229721E-005 -4.6517494758
ZS 94993 2.196813E-005 -4.6582069101
XY 94329 2.181457E-005 -4.6612533432
CV 94224 2.179029E-005 -4.6617369898
XB 94041 0.000021748 -4.6625812748
XR 90046 2.082408E-005 -4.6814341765
